beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
1.60400000,0.83622325,0.57375633,0.65031910,1.97547496
1.60450000,0.83711092,0.57496650,0.65270841,1.97439539
1.60500000,0.83731158,0.57495052,0.65244525,1.97370907
1.60550000,0.83674442,0.57432267,0.65158842,1.97542906
1.60600000,0.83747592,0.57503292,0.65290348,1.97452923
1.60650000,0.83900758,0.57632269,0.65544380,1.97334959
1.60700000,0.83903700,0.57649448,0.65519944,1.97143836
1.60750000,0.83816875,0.57563081,0.65403354,1.97384004
1.60800000,0.83965417,0.57678272,0.65639556,1.97306392
1.60850000,0.84032450,0.57804989,0.65803342,1.96932460
1.60900000,0.83950867,0.57716137,0.65631780,1.97024242
1.60950000,0.84090000,0.57834380,0.65871658,1.96936597
1.61000000,0.83961633,0.57723628,0.65650362,1.97028877
1.61050000,0.84027158,0.57774703,0.65800159,1.97129445
1.61100000,0.84140533,0.57871041,0.65932675,1.96869352
1.61150000,0.84220708,0.57977695,0.66147043,1.96783435
1.61200000,0.84160475,0.57922430,0.66019401,1.96778678
1.61250000,0.84214458,0.57969558,0.66092671,1.96676888
1.61300000,0.84080417,0.57830981,0.65889619,1.97013448
1.61350000,0.84269967,0.58024172,0.66196150,1.96614176
1.61400000,0.84207242,0.57984342,0.66129745,1.96686875
